epoch,train_loss,val_loss
0,1.5354261212689535,1.5493400663137435
1,1.41484696660723,1.5623241978883744
2,1.3371049908229282,1.4637107688188553
3,1.2806445977517538,1.2082069680094718
4,1.2349684574774333,1.166075381040573
5,1.1873954318250928,1.129715802669525
6,1.1180314573219845,1.2497545847296714
7,1.0464517222983496,1.1849568691849708
8,0.9792958693844932,1.9580076396465302
9,0.9170453665086201,1.0699081405997277
10,0.865816119653838,0.8654600730538369
11,0.8211986423390252,1.2639999976754188
12,0.7829742749673979,1.4075017261505127
13,0.7361982764942305,0.9428817407786846
14,0.703199338061469,0.8708556845784188
15,0.6702370384761266,0.7763943926990032
16,0.640722182733672,0.9325050003826618
17,0.610758473277092,0.8379653097689151
18,0.5754307468874114,1.0801241728663444
19,0.544159349160535,1.361593967974186
20,0.519936397756849,1.501293894648552
21,0.4876391579636506,2.1703727334737777
22,0.46478198094027384,1.1739482574164868
23,0.4360149242409638,0.9957423885166645
24,0.4160809073490756,0.8004489414393902
25,0.39567832274096354,0.8043456115573645
26,0.3767318088667733,1.089003376364708
27,0.35930330949170247,0.7859268447756768
28,0.34151870384812355,0.846079473644495
29,0.3256549879695688,0.8637255083769559
