epoch,train_loss,val_loss
0,1.5771115023749216,1.474200735092163
1,1.442311156306948,1.4137993896007537
2,1.3599624082020352,1.283451034128666
3,1.2975007516145707,1.2952489790320396
4,1.2476301022086824,1.3694014257192613
5,1.203907466360501,1.3812001258134843
6,1.1390865870032991,1.1800413554906846
7,1.0629589721986226,1.1869671794772148
8,1.0001477298566273,1.021730202138424
9,0.9372270194973265,1.1172235560417176
10,0.8820288255810738,1.0268063715100288
11,0.8311906153389386,0.914435815513134
12,0.7865496044499534,1.4434134468436242
13,0.7506509101816586,0.8442086771130561
14,0.7197738159980093,0.8510175849497318
15,0.678079087138176,1.541233842074871
16,0.6453669027345521,0.8024858638644219
17,0.6098638861094202,0.7568662469089031
18,0.5812306659136499,0.8825173451006413
19,0.5535395959445408,0.7525618281960488
20,0.5270532895837511,0.7706849847733974
21,0.4918376984553678,0.7903621990978718
22,0.4687827844917774,0.7747163423895835
23,0.4481995937015329,2.457742001414299
24,0.4207243294801031,1.0178463669866324
25,0.3994359877705574,1.0398960508406163
26,0.38363935674939836,3.0253718733787536
27,0.36038174082125934,0.7715429589152336
28,0.3406026814026492,0.9152275513857603
29,0.3264320419515882,0.8579208213090896
30,0.3156270274732794,0.9466060300171375
31,0.2935308547743729,1.152123116105795
32,0.282283877070461,2.646289554834366
33,0.2699235286989382,1.1967612701654433
